source,condition_type,race_vs_white,coef_months,ci_lo,ci_hi,p
Real judges (n=107k),real,Black,9.42,8.92,9.92,0.0
Real judges (n=107k),real,Hispanic,0.15,-0.32,0.62,0.5353
claude-haiku-4-5 (race),race-matched,Black,-5.43,-11.43,0.58,0.0764
claude-haiku-4-5 (race),race-matched,Hispanic,-3.83,-10.0,2.34,0.2228
gpt-4o-mini (race),race-matched,Black,-5.43,-12.6,1.73,0.1366
gpt-4o-mini (race),race-matched,Hispanic,-3.23,-10.59,4.13,0.3881
llama-3.2-3b (race),race-matched,Black,0.89,-9.67,11.45,0.8682
llama-3.2-3b (race),race-matched,Hispanic,-2.09,-12.93,8.76,0.7051
qwen-2.5-7b (race),race-matched,Black,-8.08,-14.95,-1.22,0.0211
qwen-2.5-7b (race),race-matched,Hispanic,-7.78,-14.83,-0.73,0.0307
claude-haiku-4-5 (debias),debias-matched,Black,-5.25,-10.9,0.39,0.0679
claude-haiku-4-5 (debias),debias-matched,Hispanic,-3.39,-9.19,2.4,0.2504
gpt-4o-mini (debias),debias-matched,Black,-4.49,-10.47,1.49,0.1402
gpt-4o-mini (debias),debias-matched,Hispanic,-3.76,-9.9,2.38,0.2295
llama-3.2-3b (debias),debias-matched,Black,5.12,-3.33,13.58,0.2342
llama-3.2-3b (debias),debias-matched,Hispanic,-1.58,-10.27,7.11,0.7202
qwen-2.5-7b (debias),debias-matched,Black,-4.24,-11.51,3.02,0.2509
qwen-2.5-7b (debias),debias-matched,Hispanic,-4.02,-11.48,3.44,0.2901
claude-haiku-4-5 (name),name-matched,Black,-5.93,-11.88,0.03,0.051
claude-haiku-4-5 (name),name-matched,Hispanic,-3.87,-9.98,2.25,0.2142
gpt-4o-mini (name),name-matched,Black,-6.1,-12.14,-0.07,0.0474
gpt-4o-mini (name),name-matched,Hispanic,-4.81,-11.01,1.39,0.1277
llama-3.2-3b (name),name-matched,Black,-8.36,-18.48,1.77,0.1053
llama-3.2-3b (name),name-matched,Hispanic,-6.7,-17.1,3.69,0.2055
qwen-2.5-7b (name),name-matched,Black,-5.51,-12.39,1.36,0.1157
qwen-2.5-7b (name),name-matched,Hispanic,-6.16,-13.22,0.9,0.0871
claude-haiku-4-5 (SES),ses,Black,-5.79,-11.38,-0.2,0.0424
claude-haiku-4-5 (SES),ses,Hispanic,-4.46,-10.2,1.28,0.1271
gpt-4o-mini (SES),ses,Black,-5.87,-11.91,0.16,0.0563
gpt-4o-mini (SES),ses,Hispanic,-3.97,-10.17,2.22,0.2078
llama-3.2-3b (SES),ses,Black,2.31,-6.98,11.61,0.6249
llama-3.2-3b (SES),ses,Hispanic,-2.41,-11.96,7.13,0.6192
qwen-2.5-7b (SES),ses,Black,-6.23,-13.27,0.81,0.0828
qwen-2.5-7b (SES),ses,Hispanic,-6.85,-14.08,0.39,0.0635
