ablation,model,comparison,n,mean_delta,ci_lo,ci_hi,cohens_d,p_paired_t,p_wilcoxon,p_tost_pm5,equiv_pm5,p_paired_t_bonf,p_wilcoxon_bonf,sig_at_bonf_05
race,claude-haiku-4-5,BW,300,-0.55,-1.44,0.33,-0.071,0.2189,0.6333,0.0,True,1.0,1.0,False
race,gpt-4o-mini,BW,300,-0.3,-1.37,0.77,-0.032,0.5854,0.143,0.0,True,1.0,1.0,False
race,llama-3.2-3b,BW,300,-1.86,-6.42,2.7,-0.046,0.4237,0.6438,0.088,False,1.0,1.0,False
race,qwen-2.5-7b,BW,300,-0.51,-1.73,0.72,-0.047,0.4158,0.6732,0.0,True,1.0,1.0,False
race,claude-haiku-4-5,HW,300,-0.25,-0.83,0.33,-0.049,0.4001,0.7804,0.0,True,1.0,1.0,False
race,gpt-4o-mini,HW,300,-0.38,-1.38,0.61,-0.044,0.4489,0.2773,0.0,True,1.0,1.0,False
race,llama-3.2-3b,HW,300,-1.02,-6.51,4.48,-0.021,0.7162,0.9257,0.0775,False,1.0,1.0,False
race,qwen-2.5-7b,HW,300,-0.7,-1.8,0.4,-0.073,0.2092,0.2159,0.0,True,1.0,1.0,False
race,claude-haiku-4-5,BH,300,-0.3,-0.85,0.24,-0.063,0.2738,0.3701,0.0,True,1.0,1.0,False
race,gpt-4o-mini,BH,300,0.09,-0.58,0.75,0.015,0.7984,0.4723,0.0,True,1.0,1.0,False
race,llama-3.2-3b,BH,300,-0.84,-4.87,3.19,-0.024,0.6823,0.4872,0.0217,True,1.0,1.0,False
race,qwen-2.5-7b,BH,300,0.2,-1.11,1.5,0.017,0.7665,0.4082,0.0,True,1.0,1.0,False
name,claude-haiku-4-5,BW,300,0.02,-0.5,0.55,0.005,0.9305,0.9704,0.0,True,1.0,1.0,False
name,gpt-4o-mini,BW,300,-0.29,-0.8,0.21,-0.066,0.2568,0.5091,0.0,True,1.0,1.0,False
name,llama-3.2-3b,BW,300,0.57,-2.43,3.58,0.022,0.7076,0.793,0.002,True,1.0,1.0,False
name,qwen-2.5-7b,BW,300,-0.16,-1.1,0.77,-0.02,0.7305,0.3926,0.0,True,1.0,1.0,False
name,claude-haiku-4-5,HW,300,0.42,-0.11,0.94,0.091,0.1178,0.1731,0.0,True,1.0,1.0,False
name,gpt-4o-mini,HW,300,-0.61,-1.13,-0.09,-0.133,0.0223,0.0751,0.0,True,0.5352,1.0,False
name,llama-3.2-3b,HW,300,1.22,-3.46,5.9,0.03,0.6086,0.9964,0.0567,False,1.0,1.0,False
name,qwen-2.5-7b,HW,300,0.64,-0.3,1.58,0.078,0.1797,0.0418,0.0,True,1.0,1.0,False
name,claude-haiku-4-5,BH,300,-0.39,-0.87,0.08,-0.094,0.1028,0.028,0.0,True,1.0,0.672,False
name,gpt-4o-mini,BH,300,0.32,-0.15,0.78,0.077,0.181,0.1316,0.0,True,1.0,1.0,False
name,llama-3.2-3b,BH,300,-0.65,-5.65,4.36,-0.015,0.7994,0.7339,0.044,True,1.0,1.0,False
name,qwen-2.5-7b,BH,300,-0.8,-1.82,0.21,-0.09,0.1198,0.3198,0.0,True,1.0,1.0,False
